37,S000079             ,MJBTBR30F2K210960   ,B8291EN,B -8291-EN ,CHV-TVR22B-MT  ,2003,Hijau Tua Metalik   ,C22NE25079222       ,2003-05-01,          
38,S000080             ,MJBTBR30F2K210708   ,B8293EN,B -8293-EN ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25076820       ,2003-05-01,          
39,S000081             ,MJBTBR30F2K210505   ,B8294EN,B -8294-EN ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25069296       ,2003-05-01,          
40,S000082             ,MJBTBR30F2K210019   ,B8296EN,B -8296-EN ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25061281       ,2003-05-01,          
41,S000083             ,MJBTBR30F2K210733   ,B8297EN,B -8297-EN ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25076803       ,2003-05-01,          
42,S000084             ,MJBTBR30F2K210732   ,B8298EN,B -8298-EN ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25077223       ,2003-05-01,          
43,S000085             ,MJBTBR30F3K211049   ,B8299E,B -8299-E  ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25080538       ,2003-06-01,          
44,S000086             ,MJBTBR30F3K211019   ,B8299PE,B -8299-PE ,CHV-TVR22B-MT  ,2003,Hijau Tua Metalik   ,C22NE25080612       ,2003-05-01,          
45,S000087             ,MJBTBR30F3K211032   ,B8302PE,B -8302-PE ,CHV-TVR22B-MT  ,2003,Hijau Tua Metalik   ,C22NE25080596       ,2003-05-01,          
46,S000088             ,MJBTBR30F2K210016   ,B8303EN,B -8303-EN ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25058275       ,2003-05-01,          
47,S000089             ,MJBTBR30F3K211020   ,B8304PE,B -8304-PE ,CHV-TVR22B-MT  ,2003,Hijau Tua Metalik   ,C22NE25080636       ,2003-05-01,          
48,S000090             ,MJBTBR30F3K211011   ,B8305PE,B -8305-PE ,CHV-TVR22B-MT  ,2003,Hijau Tua Metalik   ,C22NE25080577       ,2003-05-01,          
49,S000091             ,MJBTBR30F2K210739   ,B8307EN,B -8307-EN ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25076790       ,2003-05-01,          
50,S000092             ,MJBTBR30F3K211050   ,B8309E,B -8309-E  ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25079171       ,2003-06-01,          
51,S000093             ,MJBTBR30F3K211041   ,B8311E,B -8311-E  ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25080541       ,2003-06-01,          
52,S000094             ,MJBTBR30F2K210762   ,B8311EN,B -8311-EN ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25076867       ,2003-05-01,          
53,S000095             ,MJBTBR30F2K210015   ,B8312EN,B -8312-EN ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25058274       ,2003-05-01,          
54,S000096             ,MJBTBR30F3K211044   ,B8315E,B -8315-E  ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25080539       ,2003-06-01,          
55,S000097             ,MJBTBR30F3K211043   ,B8318E,B -8318-E  ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25080540       ,2003-06-01,          
56,S000098             ,MJBTBR30F3K211047   ,B8339E,B -8339-E  ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25080554       ,2003-06-01,          
57,S000099             ,MJBTBR30F2K210876   ,B8345FZ,B -8345-FZ ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25079201       ,2003-05-01,          
