98,ADRAJKTFMW,Adira Daihatsu Fatmawati                
99,RLLYJOGTGU,Rally Bengkel                           
100,AISZSUBDUR,"Astra Isuzu Duryat Sby,PT               "
101,AISZBDOSKH,"Astra Isuzu Bandung,PT                  "
102,AISZSRGMJP,"Astra Isuzu Semarang,PT                 "
103,AISZMESSSM,"Astra Isuzu Medan,PT                    "
104,AISZCBNTPR,"Astra Isuzu Cirebon,PT                  "
105,TBRIPKUSSK,"Berdikari,Toko                          "
106,BSPBSOC,Solo Putra Ban                          
107,SDMTBDOSHT,"Srikandi Diamond Motor Bdg,PT           "
108,AISZSUBHRM,"Astra Isuzu HR Muhammad Sby,PT          "
109,PJGMDJBBTN,"Puria Jaya Gemilang,CV                  "
110,FORDJKTBAR,"Performance Auto Centre,PT              "
111,AISZJKTDMT,"Astra Isuzu Daan Mogot,PT               "
112,AISZMDCWTR,"Astra Isuzu Manado,PT                   "
113,AISZJOGSTY,"Astra Isuzu Yogya Sutoyo,PT             "
114,REKAJKTDMT,"Rahardja Ekalancar,PT                   "
115,AISZJKTWBR,"Astra Isuzu Warung Buncit,PT            "
116,ALNGJKTGNS,Aliong Automotif                        
117,CPTYJKTCPT,Ciputat Jaya                            
118,AISZJKTPMK,"Astra Isuzu Pramuka,PT                  "
119,UTMMLMBBEO,Utama Motor                             
120,PLAWLBKAGN,"Prima Lombok Auto World,PT              "
121,AUT2MUNHOS,"A 2000 Madiun,PT                        "
122,AISZJKTSTR,"Astra Isuzu Sunter,PT                   "
123,AISZJKTPAL,"Astra Isuzu Palmerah,PT                 "
124,DWIHPKUDMI,Dwi Harent Dumai                        
125,CRAPPDJB,Kopkar RAPP                             
126,AISZUMPPGA,"Astra Isuzu Lampung,PT                  "
127,TKPLSUBPLN,"PILAR, Toko                             "
128,NISSJKTSTR,Indomobil Trada Nasional Suntr          
129,AISZSMNSRI,Astra Isuzu Samarinda S Riyadi          
130,AISZBPNSDR,"Astra Isuzu Blpn Sudirman,PT            "
131,PRPNJKTHWK,"Paripurnah, Toko                        "
132,AISZTGRBSD,Astra Isuzu BSD/Auto Cipta Kry          
133,ADHSPNKIMB,"Astra Daihatsu Pontianak,PT             "
134,NISSTGRBTR,"Indomobil Multi Trada,PT                "
135,NISSSUBAYN,"Wahana Wirawan Cbg Sby,PT               "
136,FTIMJKTGNS,"Fontana Indah Motor,PT                  "
137,AISZBGRPJR,"Astra Isuzu Bogor Pajajaran,PT          "
138,AISZUPGSMH,Astra Isuzu Makasar Sumoharjo           
139,AISZBDJAYN,Astra Isuzu Banjarmasin A.Yani          
140,CPLAPDGDHM,"Capella Medan Padang,PT                 "
141,NISSJKTRDL,Indomobil Trada Nasional Raden          
142,EKAPPKU,Bengkel Eka Prima                       
143,AISZPLMKBU,"Astra Isuzu Palembang,PT                "
144,KNGMBPNTRK,King Motor Kaltim                       
145,SPNMDJBKLA,"Sipin Mobilindo,PT                      "
146,TKPMDJBGJM,"Pelumas Mandala, Toko                   "
147,PRWSPLMHSK,Purwosari Motor Palembang               
148,ISTAPBKMSR,"Istana Agung,PT                         "
149,DMSVBKSCKR,Duta Motor Service                      
150,NISSMESGTS,"Wahana Trans Lestari MdnGts,PT          "
151,NISSJKTWRB,"Wahana Senjaya Jkt Wrg B,PT             "
152,AUT2JKTSHJ,"A 2000 Tebet Saharjo,PT                 "
153,AUT2BKSDIP,"A 2000 Bekasi Diponegoro,PT             "
154,PTAVBPNAYN,Putra Ayu Variasi                       
155,SLMRPKUDMI,Selamat Motor                           
156,AUT2KRWSRK,"A 2000 Karawang,PT                      "
157,AUT2JKTSTR,"A 2000 Sunter,PT                        "
158,AUT2JKTRDM,"A 2000 Radio Dalam,PT                   "
159,RSMMPKUBTM,"Rodamas Makmur Motor,PT                 "
160,AUT2JKTPKB,"A 2000 Puri Kembangan,PT                "
161,AISZSOLADS,"Astra Isuzu Solo,PT                     "
162,CMBITJQ,MBI Tanjung Pinang                      
163,TNSRBTNCLG,"Tunas Ridean Cilegon,PT                 "
164,RHRNDMI,Opr Harent Dumai                        
165,AUT2TGRBSO,"A 2000 Bumi Serpong Damai,PT            "
166,AUT2JKTPJY,"A 2000 Pangeran Jayakarta,PT            "
167,NISSUPGLTJ,"Wahana Megahputra Makassar,PT           "
168,MKRMUPGSPM,Makasar Raya Motor                      
169,AISZSUBWAR,"Astra Isuzu Waru Surabaya,PT            "
170,CTLKMSUB,"Telkom Divre V Jatim,PT                 "
171,LTJMPKUBTM,"Latin Jaya Motor,CV                     "
172,AGAMBTHYSS,Agung Automall Batam                    
173,GWJYSUBTJS,"Gawih Jaya,PT                           "
174,RHRNBPN,Opr Harent Blkpapan                     
175,CPOLSNDBKS,"Polysindo Eka Perkasa,PT                "
176,AUT2MESSSM,"A 2000 Medan Sisingamrj,PT              "
177,TNSRBDOCMB,Tunas Ridean Bandung CM.PT              
178,SSMTJKTFTW,Sembilan Sembilan Motor                 
179,CPNDDLIKRW,Pindodeli                               
180,BTKRBPNSKH,"Bintang Kutai Timur,PT                  "
181,KRYAPBKAMD,Karya Agung                             
182,RHRNMES,Opr Harent Meddan                       
183,RHRNDRI,Opr Harent Duri                         
184,RHRNBDO,Opr Harent Bandung                      
185,CBPMJKTSDR,Bank Permata Sudirman                   
186,BPRMJKTFMW,"Paramita Banindo Ban FMW,PT             "
187,HRMSSUBDMK,"Hartono Raya Motor Sby,PT               "
188,HRMSDPSRAI,"Hartono Raya Motor Bali,PT              "
189,NISSJKTKBJ,Indomobil Trada Nasional Kbn J          
190,CMBILBK,MBI Lombok                              
191,ACJRBTGSNR,Jaya Raya Ac                            
192,ISUIPKUTBS,PT. Isuindomas Putra                    
193,BSJRMESNBR,Sejahtera Ban                           
194,AUT2JKTDMT,"A 2000 Daan Mogot,PT                    "
195,CHALBURTON,Halliburton Indonesia                   
196,AUT2JKTPLT,"A 2000 Pluit,PT                         "
197,AUT2JKTKJT,"A 2000 Kramat Jati,PT                   "
198,GSMSJKTATR,"Gemilang Setia M Salon,PT               "
199,HKALMKSUSH,"Hadji Kalla Mks Urip Smhrj,PT           "
200,AUT2JKTJND,"A 2000 Juanda,PT                        "
201,CMBIDJB,MBI Jambi                               
202,RHRNSRG,Opr Harent Semarang                     
203,CSRROTIBKS,"Sari Roti,PT                            "
204,RHRNPKU,Opr Haren Pekanbaru                     
205,CBPRMTAMES,Bank Permata Medan                      
206,AUCKJKTM2R,Auto Cipta Karya                        
207,SAMSDJBPTR,Sutomo Automobil Service                
208,CSIEMNSJKT,Siemens Indonesia                       
209,IPANMDCDIP,"Indo Prima Autonusa,PT                  "
210,TSHMPDGPRS,"Toshio Motor,CV                         "
211,AMSJKTBCPR,A M S                                   
212,GSINJKTTBT,"Garansindo Inter Global TBT,PT          "
213,CMBIPKU,MBI Pekanbaru                           
214,RHRNMKS,Opr Harent Makasar                      
215,CMBIJKT,MBI Jakarta                             
216,BOROJOGMGL,"Borobudur Oto Mobil Yog II,PT           "
217,CCLINICJKT,"Sentra Mulia Lestari,PT                 "
218,GTSBPNYANI,G T S                                   
219,RLXRJKTSWB,Rolex Motor                             
220,MJMRJKYSWB,Maju Jaya Makmur                        
221,AISZPKUDRI,"Astra Isuzu Duri,PT                     "
222,RHRNPKY,Opr Harent Palembang                    
223,YUDAJKTHWK,Yudha Teknik                            
224,MPINJKTKJM,"Merapin Mega Abadi,PT                   "
225,SRNRSRGSLW,Sarana Ban (UM)                         
226,UNMRJKTBNG,Union Motor                             
227,BANRUPGBDG,Aneka Raya Mksr                         
228,VRBAJKTKGP,"Varia Baru,PT                           "
229,HTJYJKTFTW,"Hangtuah Jaya SS,PT                     "
230,RHRNSUB,Opr Harent Surabaya                     
231,FORDJKTTIM,Indonesian Republic Mtr Co              
232,GOLDBPNMTH,Goldy Car Accessories                   
233,TKNDJKTCPM,"Tehnik Delta Prima Diesel,CV            "
234,KNGKJTPJG,King Knalpot                            
235,DTJVBPNAYN,Duta Jaya Variasi                       
236,KIAPJKTDMT,Prima Mobil KIA                         
237,CMBIPKY,MBI Palangkaraya                        
238,HNDAJKTPSM,"Mitrausaha Gentaniaga PSM,PT            "
239,NISSSUBBSR,"United Indo Surabaya,PT                 "
240,HNDAJKTPDI,"Istana Kebayoran RM PDI,PT              "
241,NSMKCLPMTH,"Nasmoco Cilacap,PT                      "
242,BGSMSRG,"Gunung Sumber Murni Ban,PT              "
243,WULNPKUSKH,Bengkel Wulan                           
244,SUNMJKTMTR,"Sun Motor Matraman,PT                   "
245,FORDSUBSDR,"Profesindo Oto Service,PT               "
246,CLNLMNZJKT,"Luminoz Indonesia,PT                    "
247,UNMCSUBAYN,"United Motors Centre,PT                 "
248,GANIJKTSWB,Gani Motor                              
249,MHBSSMDCMK,"Mahakam Berlian Samjaya,PT              "
250,AYUNJKTMBS,Ayun Jaya Motor Mangga Besar            
251,SDMTJKTSTR,"Srikandi Diamond Motor Sntr,PT          "
252,ASCOJKTFMW,Asco Prima Mobilindo Fatmawati          
253,CMBIKDR,MBI Kendari                             
254,FORDJKTSEL,"Selaras Nusa Abadi,PT                   "
255,SZKIJKTFMW,"Sumber Baru Aneka Mobil,PT              "
256,SMBTDJBPHD,Sumber Tehnik                           
257,THRNJKTKPR,"Harun, Toko                             "
258,GRYTJKTHWK,Griya Teknik                            
259,JAYMJKTTSR,Jaya Makmur                             
260,CANTAMBGR,"Aneka Tambang,PT                        "
261,KIAMJKTSTR,"Kia Mobil Indonesia,PT                  "
262,BMWTJKTSPM,"Tunas Mobilindo Parama Tbt,PT           "
263,AUT2JKTPMK,"A 2000 Pramuka,PT                       "
264,ADIRSBYSKN,Adira Finance                           
265,ACSIGMASUB,Sigma Ac Mobil                          
266,NISSJKTHLM,"Indomobil Trada Nasional Hlm,P          "
267,CMBIMKR,MBI Makassar                            
268,ABMWJKTSTR,"Astra BMW Sunter,PT                     "
269,AUT2JKTYOS,"A 2000 Yos Sudarso,PT                   "
270,AISZBKSSDR,"Astra Isuzu Bekasi,PT                   "
271,SZKIJKTKGP,Panca Julang Jaya Mtr Klp G             
272,CCMKDJB,"Cikarang Multi Kreasi,PT                "
273,AUT2LMPRDI,"A 2000 Lampung Rdn Intan,PT             "
274,CBPRMTAJKT,Bank Permata Jkt                        
275,FORDPDGVET,"Alfa Auto Mandiri,PT                    "
276,NIPABKSPDU,Nipa Utama                              
277,ANTJTGRSRP,"Antareja Agung Perkasa,PT               "
278,GANAJKTSWB,Gana Motor                              
279,NISSTGRBSD,"Wahana Sumber Trada Tgrg,PT             "
280,JYABBGRCBS,Jaya abadi                              
281,AUT2JKTSPM,"A 2000 Tebet Soepomo,PT                 "
282,HRMSJKTDMT,"Hartono Raya Motor Jkt,PT               "
283,PBTMSKBKLP,Pribadi Tehnik Motor                    
284,AKARYAMJKT,"Anugerah Karya Mandiri,CV               "
285,ACKVBERLTR,"Konvekta Indonesia,PT                   "
286,SHBTPLUHGT,"Sahabat Tehnik,PT                       "
287,DWMTJKTSWB,Dewi Motor                              
288,AUT2BPNSDR,"A 2000 Balikpapan Sudirman,PT           "
289,SLWTDJJSRG,Salawati Motorindo                      
290,6JYAJKTSWB,Enam Jaya                               
291,MMMDBPNMLW,"Mitra Matra Mandiri,PT                  "
292,PITSSUBUDK,Pit Stop                                
293,KLMSJKTPRK,"Kawan Lama Sejahtera,PT                 "
294,MDBSBPNMTH,"Mandau Berlian Sejati-Part,PT           "
295,SZKIJKTPSM,Panca Julang Jaya Mtr Psr Mgg           
296,CPPAJKT,"Perusahaan Pengelola Aset,PT            "
297,ISTMSUB,Istana Mobil Surabaya Indah             
298,CQGAJKTMSM,Quest Geophysical Asia                  
299,JYIMJKTSWB,Jaya Inter Motor                        
300,KEDASBYSKN,"Kedaung Satrya Motor,PT                 "
301,NAPMJKTSNN,New Apollo Motor                        
302,RHYSCBNBGR,"Rahayu Sentosa,PT                       "
303,AUT2DPSHOS,"A 2000 Denpasar,PT                      "
