88,SAMSUNG,PT. SAMSUNG ELECTRONICS INDONESIA                                               
89,AHESS,AMERADA HESS                                                                    
90,ISPAT,PT ISPAT INDO                                                                   
91,GOLDBIRD,PT. GOLDEN BIRD BALI                                                            
92,GINIMEG,PT. GINI MEGAH                                                                  
93,FONDACO,PT. FONDACO MITRATAMA                                                           
94,NOKIA,PT. NOKIA NETWORKS                                                              
95,BAKFIN,PT. BHAKTI FINANCE                                                              
96,CANSRI,PT. CHANDRA ASRI                                                                
97,BMANDR,PT. BANK MANDIRI (PERSERO) TBK                                                  
98,MBSS,PT. MITRABAHTERA SEGARA SEJATI                                                  
99,SPECTRA,PT. SPECTRA PANCA MITRA                                                         
100,SEFAS,PT. SEFAS PELINDOTAMA                                                           
101,BBNI,PT. BANK NEGARA INDONESIA (PERSERO) TBK                                         
102,FASTRA,PT. FASTRATA BUANA                                                              
103,TELKOMBDG,"PT. TELEKOMUNIKASI INDONESIA, TBK                                               "
104,DYKA,PT. DYKA KONSULTAMA                                                             
105,ASAIA,PT. ASURANSI AIA INDONESIA                                                      
106,LPS,LEMBAGA PENJAMIN SIMPANAN                                                       
107,DAMAR,PT. DAMAR GLOBAL INDONESIA                                                      
108,GRASIA,PT. GRASIA BERKAT ABADI                                                         
109,KURITA,PT. KURITA INDONESIA                                                            
110,MANTERA,PT. MANDIRA ERAJASA WAHANA                                                      
111,KASAKATA,PT. KASAKATA KIMIA                                                              
112,GNGARUD,PT. GUNUNG GARUDA                                                               
113,CONEL,PT. CONNELL BERSAUDARA CHEMINDO                                                 
114,MAWACIT,PT. MAWA CITRA WISESA                                                           
115,KARJAY,UD. KARUNIA JAYA BAN                                                            
116,MEDGY,"PT. MEDCO ENERGY INTERNATIONAL, TBK                                             "
117,COALIN,PT. COALINDO PERDANA MINING                                                     
118,WILMA,PT. WILLIAMINDO MAJU SEJAHTERA                                                  
119,AJCAR,PT. A.J. CENTRAL ASIA RAYA                                                      
120,KORTEL,PT. KOREA TELECOM DATA MEDIA                                                    
121,INDOMIN,PT. INDOMINCO MANDIRI                                                           
122,TRANWEP,PT. TRANSWEPP INTERNASIONAL                                                     
123,INDIKA,PT. INDIKA INTI ENERGY                                                          
124,PERMINASLW,JOB PERTAMINA - PETROCHINA SALAWATI                                             
125,KARSJT,CV. KARUNIA SEJATI                                                              
126,WCI,PT. WESTERN COATING INDONESIA                                                   
127,ASAXA,PT. AXA SERVICES INDONESIA                                                      
128,WIRAMAS,PT. WIRAMAS ADYABUANA PRATAMA                                                   
129,BMK,PT. BINA MULIA KALIMANTAN                                                       
130,PERTAMISUB,PT. PERTAMINA (PERSERO)-SBY                                                     
131,MKN,PT. MULTI KONTROL NUSANTARA                                                     
132,ANTAM,PT. ANEKA TAMBANG                                                               
133,BUBS,UBS AG                                                                          
134,SILVERY,PT. SILVERY DRAGON INDONESIA                                                    
135,GRESIK,PT. GRESIK GASES INDONESIA                                                      
136,INDOTRAK,PT. INDOTRUCK UTAMA                                                             
137,CMK,PT. CIKARANG MULTI KREASI                                                       
138,AIRMN,PT. MERPATI NUSANTARA AIRLINES                                                  
139,BINPER,PT. BINTANGMANDIRI PERKASA                                                      
140,SANTOS,BUT SANTOS (SAMPANG) PTY. LTD                                                   
141,PPA,PT. PERUSAHAAN PENGELOLA ASET (PERSERO)                                         
142,KRAFT,PT. KRAFT FOODS INDONESIA                                                       
143,MMCOM,PT. MITRA COMPUTA ASIA                                                          
144,HITEC,PT. HITEC SUKSES MAKMUR                                                         
145,PGNSUB,PT. PERUSAHAAN GAS NEGARA (PERSERO) TBK                                         
146,TITAN,PT. TITAN PETROKIMIA NUSANTARA                                                  
147,INSSET,CV. INDAH SURYA SEMESTA                                                         
148,SHJ,PT. SURYA HUTANI JAYA                                                           
149,PETROSEA,PT. PETROSEA TBK.                                                               
150,MEDKUNG,PT. MEDCO E&P SEMBAKUNG                                                         
151,QUEST,PT. QUEST GEOPHYSICAL ASIA                                                      
152,PERMINATLS,JOB PERTAMINA - TALISMAN (OK) LTD.                                              
153,KOPINDO,KOPERASI PEGAWAI PT. INDOSAT                                                    
154,MARADIR,PT. MARAMAKMUR DIRGANTARA                                                       
155,INTRACO,PT. INTRACO LESTARI                                                             
156,FRONASA,BUT FRONTIER DRILLING ASA                                                       
157,KOPINDOSUB,KOPERASI PEGAWAI PT. INDOSAT                                                    
158,JGKARYA,PT. JAGA KARYA MANDIRI                                                          
159,OTHERSPT,OTHERSPT                                                                        
160,CBS,PT. CAHAYA BUNGO SARKOPALMA                                                     
161,SIGKAL,PT. SIGMAKALON INDONESIA                                                        
162,MRI,PT. MULTI RESOURCES INDONESIA                                                   
163,PGNJBB,PT. PERUSAHAAN GAS NEGARA (PERSERO) TBK                                         
164,KOPINDOSMG,KOPERASI PEGAWAI PT. INDOSAT                                                    
165,CGT,PT. CEMERLANG GEMILANG TERBILANG                                                
166,BAPP,PT. BUMI ASRI PRIMA PRATAMA                                                     
167,TANHAR,PT. TANITO HARUM                                                                
168,ARVIJA,PT. ARVINDA JAYA ABADI                                                          
169,HESS,BUT. HESS (INDONESIA-PANGKAH) LIMITED                                           
170,BIMBIS,PT. BIMA BISALLOY                                                               
171,PACIFIB,PT. PACIFIC FIBER INDONESIA                                                     
172,EMPKNGNJKT,KANGEAN ENERGY INDONESIA LTD                                                    
173,TRISMI,PT. TRISUMBER MAKMUR INDAH                                                      
174,GRAES,CV. GRAHA ESTETIKA                                                              
175,KOPINDOMKS,KOPERASI PEGAWAI PT. INDOSAT                                                    
176,ABCPRES,PT. ABC PRESIDENT INDONESIA                                                     
177,BTAM,PT. BATUR ARTHA MANDIRI                                                         
178,PEU,PT. PRISMA EXPLORINDO UTAMA                                                     
179,APA,PT. ASA PERKASA ABIMULYA                                                        
180,BCSI,PT. BARCLAYS CAPITAL SECURITIES INDONESIA                                       
181,PPGINDO,PT. PPG INDONESIA                                                               
182,KSTEEL,PT. KRAKATAU STEEL (PERSERO) TBK                                                
183,RTMIC,PT. RTM INTI CORPORA                                                            
184,KOPINDOBRU,KOPERASI PEGAWAI PT. INDOSAT                                                    
185,BBNISUB,PT. BANK NEGARA INDONESIA (PERSERO) TBK                                         
186,BBNIDPS,PT. BANK NEGARA INDONESIA (PERSERO) TBK                                         
187,KOPINDOPKY,KOPERASI PEGAWAI PT. INDOSAT                                                    
188,ABFINDO,PT. ABF INDONESIA                                                               
189,KOPINDOBTG,KOPERASI PEGAWAI PT. INDOSAT (BONTANG)                                          
190,PERTAMIEP,PT. PERTAMINA EP                                                                
191,SELNET,PT. SELNET OPTIMA TRIKARSA MAS NUSANTARA                                        
192,JNIMIJA,CV. JNI MITRA JAYA                                                              
193,KODECO,KODECO ENERGY CO. LTD                                                           
194,BAUERPI,PT. BAUER PRATAMA INDONESIA                                                     
195,CISURYA,PT. CIPUTRA SURYA. TBK                                                          
196,CIDAREX,PT. CITRA DAREX                                                                 
197,SWISSBEL,SWISS BELHOTEL INTERNATIONAL INDONESIA                                          
198,TELKOMBPN,"PT. TELEKOMUNIKASI INDONESIA, TBK                                               "
199,WEMCES,PT. WEALTH MAX CENTRIC SOLUSINDO                                                
200,SBAWOOD,PT. SBA WOOD INDUSTRIES                                                         
201,PARABU,PT. PANGAN RAHMAT BUANA                                                         
202,COPHILGRIS,CONOCOPHILLIPS (GRISSIK) LTD                                                    
203,ADIYASA,PT. ADITEC CAKRAWIYASA                                                          
204,OTHERSLT,OTHERSLT                                                                        
205,OSEVEN,PT. OCEAN SEVEN                                                                 
206,PIDARKA,PT. PIRANTI DARMA KALOKATAMA                                                    
207,NSN,PT. NOKIA SIEMENS NETWORKS                                                      
208,PERKOMA,PT. PERDANA KOMSEL MANDIRI                                                      
209,KOPINDOPKU,KOPERASI PEGAWAI PT. INDOSAT                                                    
210,BSYAMANDR,PT. BANK SYARIAH MANDIRI                                                        
211,FEROCCI,PT. FERO CERAMIC COLORS INDONESIA                                               
212,COPHILRAM,CONOCOPHILLIPS (RAMBA) LTD                                                      
213,FERROADA,PT. FERRO ADDITIVES ASIA                                                        
214,TELKOMJKT,PT. TELEKOMUNIKASI INDONESIA                                                    
215,SILLAKE,PT. SILVERLAKE INFORMATIKATAMA                                                  
216,PGNPUSAT,PT. PERUSAHAAN GAS NEGARA (PERSERO) TBK                                         
217,PGNSUMJA,PT. PERUSAHAAN GAS NEGARA (PERSERO) TBK                                         
218,PATRASK,PT. PATRA SK                                                                    
